preço,endereço,área,quartos,vagas,bairro
R$ 334.000,Avenida Vila Ema,61 m²,2 quartos,1 vaga, Água Rasa
R$ 623.000,Avenida Sapopemba,97 m²,3 quartos,2 vagas, Água Rasa
R$ 955.000,Praça Xavier da Silveira,104 m²,2 quartos,2 vagas, Água Rasa
"R$ 555.378,29",Rua Teresina,62 m²,2 quartos,1 vaga, Água Rasa
R$ 500.000,Rua Caioaba,69 m²,2 quartos,1 vaga, Água Rasa
R$ 960.000,Rua Baguassu,104 m²,2 quartos,2 vagas, Água Rasa
"R$ 992.702,58",Rua Ibitinga,97 m²,3 quartos,2 vagas, Água Rasa
R$ 580.000,Rua João Teixeira da Silva,76 m²,3 quartos,2 vagas, Água Rasa
R$ 580.000,Rua João Teixeira da Silva,76 m²,3 quartos,2 vagas, Água Rasa
R$ 690.000,Rua Caioaba,90 m²,3 quartos,2 vagas, Água Rasa
R$ 1.150.000,Avenida Montemagno,125 m²,3 quartos,2 vagas, Água Rasa
R$ 960.000,Rua Florianópolis,108 m²,3 quartos,2 vagas, Água Rasa
R$ 960.000,Rua Florianópolis,115 m²,3 quartos,2 vagas, Água Rasa
R$ 550.000,Rua Amapá,85 m²,3 quartos,2 vagas, Água Rasa
R$ 550.000,Rua do Oratório,78 m²,3 quartos,1 vaga, Água Rasa
R$ 879.000,Rua Marechal Barbacena,105 m²,3 quartos,2 vagas, Água Rasa
R$ 550.000,Rua Ibitinga,64 m²,2 quartos,2 vagas, Água Rasa
R$ 650.000,Rua Miragem,80 m²,3 quartos,2 vagas, Água Rasa
R$ 860.000,Avenida Montemagno,98 m²,3 quartos,2 vagas, Água Rasa
R$ 500.000,Rua Amapá,51 m²,2 quartos,1 vaga, Água Rasa
"R$ 822.413,88",Rua Pantojo,92 m²,3 quartos,2 vagas, Água Rasa
R$ 1.200.000,Rua Baguassu,103 m²,2 quartos,2 vagas, Água Rasa
R$ 890.000,Rua Pantojo,92 m²,2 quartos,2 vagas, Água Rasa
R$ 1.150.000,Rua Caetanos,94 m²,3 quartos,2 vagas, Água Rasa
R$ 710.000,Rua do Acre,105 m²,2 quartos,2 vagas, Água Rasa
R$ 765.000,Rua Ibó,106 m²,3 quartos,2 vagas, Água Rasa
R$ 1.180.000,Rua Jaboticabal,150 m²,3 quartos,3 vagas, Água Rasa
R$ 480.000,Avenida Vila Ema,64 m²,3 quartos,1 vaga, Água Rasa
R$ 850.000,Rua da Mooca,96 m²,3 quartos,2 vagas, Água Rasa
"R$ 626.877,87",Rua Corumbaiba,68 m²,3 quartos,2 vagas, Água Rasa
R$ 740.000,Rua da Mooca,94 m²,3 quartos,2 vagas, Água Rasa
R$ 385.000,Rua Jaboticabal,50 m²,2 quartos,1 vaga, Água Rasa
R$ 1.180.000,Rua Rui Martins,110 m²,3 quartos,2 vagas, Água Rasa
R$ 625.000,Rua Pantojo,84 m²,3 quartos,2 vagas, Água Rasa
"R$ 667.892,96",Rua Anália Franco,70 m²,3 quartos,2 vagas, Água Rasa
R$ 580.000,Rua da Mooca,62 m²,2 quartos,2 vagas, Água Rasa
R$ 1.400.000,Rua Anália Franco,176 m²,3 quartos,2 vagas, Água Rasa
"R$ 1.084.088,31",Rua da Mooca,142 m²,3 quartos,2 vagas, Água Rasa
R$ 695.000,Avenida Vila Ema,72 m²,2 quartos,1 vaga, Água Rasa
R$ 600.000,Rua Água Rasa,82 m²,3 quartos,2 vagas, Água Rasa
R$ 618.000,Rua Pantojo,89 m²,3 quartos,2 vagas, Água Rasa
"R$ 928.669,29",Rua Marechal Barbacena,114 m²,4 quartos,3 vagas, Água Rasa
R$ 319.000,Avenida Vila Ema,48 m²,2 quartos,1 vaga, Água Rasa
R$ 700.000,Rua Campo Largo,85 m²,3 quartos,2 vagas, Água Rasa
R$ 795.000,Rua Amapá,113 m²,3 quartos,2 vagas, Água Rasa
R$ 1.150.000,Rua Ibitinga,120 m²,3 quartos,2 vagas, Água Rasa
R$ 750.000,Rua Pantojo,96 m²,3 quartos,2 vagas, Água Rasa
R$ 640.000,Rua João Teixeira da Silva,80 m²,3 quartos,2 vagas, Água Rasa
R$ 1.850.000,Praça Ituzaingo,186 m²,4 quartos,4 vagas, Água Rasa
"R$ 822.552,58",Rua Pantojo,98 m²,3 quartos,2 vagas, Água Rasa
R$ 980.000,Rua Freire de Andrade,121 m²,3 quartos,2 vagas, Água Rasa
R$ 670.000,Rua Pantojo,88 m²,3 quartos,2 vagas, Água Rasa
"R$ 705.456,42",Rua Freire de Andrade,86 m²,3 quartos,2 vagas, Água Rasa
R$ 630.000,Rua Gregório Matos,86 m²,2 quartos,2 vagas, Água Rasa
R$ 826.000,Avenida Montemagno,98 m²,3 quartos,2 vagas, Água Rasa
R$ 710.000,Rua Pantojo,90 m²,3 quartos,2 vagas, Água Rasa
R$ 512.000,Rua Campo Largo,73 m²,3 quartos,2 vagas, Água Rasa
R$ 700.000,Rua Pantojo,82 m²,2 quartos,2 vagas, Água Rasa
R$ 650.000,Rua Demétrio Ribeiro,82 m²,3 quartos,2 vagas, Água Rasa
R$ 550.000,Rua Gregório Matos,74 m²,3 quartos,2 vagas, Água Rasa
R$ 1.200.000,Rua Miragem,134 m²,4 quartos,2 vagas, Água Rasa
R$ 450.000,Rua Lefosse,64 m²,2 quartos,2 vagas, Água Rasa
"R$ 427.628,89",Avenida Vereador Abel Ferreira,51 m²,2 quartos,1 vaga, Água Rasa
R$ 960.000,Rua Doutor Goulart Penteado,135 m²,3 quartos,3 vagas, Água Rasa
R$ 580.000,Rua Jaboticabal,85 m²,3 quartos,2 vagas, Água Rasa
R$ 350.000,Rua do Acre,50 m²,2 quartos,1 vaga, Água Rasa
R$ 466.000,Rua Butiá,66 m²,2 quartos,1 vaga, Água Rasa
R$ 750.000,Rua do Acre,120 m²,3 quartos,2 vagas, Água Rasa
R$ 420.000,Rua Domingos Afonso,63 m²,3 quartos,1 vaga, Água Rasa
R$ 630.000,Rua Val de Palmas,104 m²,4 quartos,2 vagas, Água Rasa
R$ 580.000,Rua Anália Franco,70 m²,1 quarto,2 vagas, Água Rasa
R$ 900.000,Rua Campo Largo,107 m²,3 quartos,2 vagas, Água Rasa
R$ 365.000,Rua Piraçununga,46 m²,2 quartos,2 vagas, Água Rasa
R$ 500.000,Rua Campo Largo,84 m²,2 quartos,1 vaga, Água Rasa
R$ 700.000,Rua Pantojo,89 m²,3 quartos,2 vagas, Água Rasa
R$ 479.000,Rua Caioaba,62 m²,2 quartos,2 vagas, Água Rasa
"R$ 1.016.990,64",Rua Serra da Piedade,159 m²,4 quartos,3 vagas, Água Rasa
R$ 710.000,Rua Voltolino,114 m²,3 quartos,2 vagas, Água Rasa
R$ 700.000,Rua João Teixeira da Silva,78 m²,2 quartos,2 vagas, Água Rasa
R$ 410.000,Rua Jaboticabal,55 m²,2 quartos,1 vaga, Água Rasa
R$ 780.000,Rua Pantojo,98 m²,3 quartos,2 vagas, Água Rasa
R$ 850.000,Rua da Mooca,97 m²,3 quartos,2 vagas, Água Rasa
R$ 650.000,Avenida Sapopemba,97 m²,3 quartos,2 vagas, Água Rasa
R$ 660.000,Rua Butiá,79 m²,3 quartos,2 vagas, Água Rasa
R$ 580.000,Rua Teófilo Dias,61 m²,1 quarto,1 vaga, Água Rasa
R$ 1.250.000,Rua Marechal Barbacena,147 m²,3 quartos,1 vaga, Água Rasa
R$ 850.000,Rua Doutor Goulart Penteado,130 m²,3 quartos,3 vagas, Água Rasa
R$ 900.000,Rua Barra Negra,197 m²,4 quartos,Sem vaga, Água Rasa
R$ 780.000,Rua Campo Largo,78 m²,2 quartos,2 vagas, Água Rasa
R$ 800.000,Rua João Borba,125 m²,3 quartos,3 vagas, Água Rasa
R$ 450.000,Avenida Vereador Abel Ferreira,50 m²,2 quartos,1 vaga, Água Rasa
R$ 750.000,Rua Pantojo,99 m²,3 quartos,2 vagas, Água Rasa
R$ 564.983,Rua Lefosse,64 m²,2 quartos,2 vagas, Água Rasa
"R$ 452.258,04",Rua Piraçununga,60 m²,2 quartos,2 vagas, Água Rasa
R$ 742.000,Rua da Mooca,79 m²,3 quartos,2 vagas, Água Rasa
R$ 680.000,Rua Gregório Matos,74 m²,3 quartos,2 vagas, Água Rasa
R$ 410.000,Rua Piraçununga,52 m²,2 quartos,2 vagas, Água Rasa
R$ 380.000,Rua Antero de Quental,59 m²,2 quartos,1 vaga, Água Rasa
R$ 850.000,Rua da Mooca,98 m²,3 quartos,2 vagas, Água Rasa
R$ 460.000,Rua Lavínia Ribeiro,100 m²,3 quartos,1 vaga, Água Rasa
R$ 450.000,Rua do Acre,60 m²,2 quartos,2 vagas, Água Rasa
R$ 900.000,Rua Pantojo,81 m²,2 quartos,2 vagas, Água Rasa
R$ 657.000,Rua Florianópolis,130 m²,3 quartos,1 vaga, Água Rasa
R$ 620.000,Rua Corumbaiba,61 m²,2 quartos,1 vaga, Água Rasa
R$ 303.000,Rua Lefosse,51 m²,2 quartos,1 vaga, Água Rasa
R$ 490.000,Rua Baguassu,64 m²,2 quartos,1 vaga, Água Rasa
R$ 425.000,Rua Natal,58 m²,3 quartos,1 vaga, Água Rasa
R$ 500.000,Rua Teresina,63 m²,3 quartos,1 vaga, Água Rasa
R$ 400.000,Avenida Vila Ema,61 m²,3 quartos,1 vaga, Água Rasa
R$ 1.100.000,Rua Piraçununga,142 m²,4 quartos,3 vagas, Água Rasa
"R$ 419.064,43",Avenida Vila Ema,61 m²,3 quartos,1 vaga, Água Rasa
R$ 600.000,Rua Anália Franco,70 m²,1 quarto,1 vaga, Água Rasa
R$ 980.000,Rua Doutor Goulart Penteado,134 m²,3 quartos,3 vagas, Água Rasa
R$ 630.000,Rua Anália Franco,71 m²,2 quartos,1 vaga, Água Rasa
R$ 650.000,Rua Anália Franco,70 m²,1 quarto,1 vaga, Água Rasa
R$ 750.000,Rua Marechal Barbacena,108 m²,3 quartos,2 vagas, Água Rasa
R$ 615.000,Rua do Oratório,82 m²,3 quartos,2 vagas, Água Rasa
R$ 1.100.000,Rua Anália Franco,275 m²,5 quartos,4 vagas, Água Rasa
R$ 750.000,Rua Marechal Barbacena,114 m²,4 quartos,3 vagas, Água Rasa
R$ 676.000,Rua Pantojo,109 m²,3 quartos,1 vaga, Água Rasa
R$ 580.000,Rua do Oratório,79 m²,3 quartos,1 vaga, Água Rasa
R$ 589.700,Rua Natal,69 m²,3 quartos,1 vaga, Água Rasa
R$ 672.300,Rua Arariba,112 m²,3 quartos,2 vagas, Água Rasa
R$ 1.200.000,Rua Campo Largo,130 m²,3 quartos,3 vagas, Água Rasa
R$ 780.000,Rua Antônio Pádua de Oliveira,140 m²,3 quartos,3 vagas, Água Rasa
R$ 640.000,Rua Campo Largo,86 m²,3 quartos,2 vagas, Água Rasa
R$ 790.000,Rua Miragem,135 m²,3 quartos,2 vagas, Água Rasa
R$ 480.000,Rua Silva Coutinho,86 m²,2 quartos,1 vaga, Água Rasa
R$ 950.000,Avenida Montemagno,98 m²,2 quartos,2 vagas, Água Rasa
R$ 405.000,Rua Batuns,82 m²,3 quartos,1 vaga, Água Rasa
R$ 432.000,Rua Barão do Serro Largo,90 m²,1 quarto,1 vaga, Água Rasa
R$ 490.000,Rua Piraçununga,63 m²,2 quartos,1 vaga, Água Rasa
"R$ 578.393,51",Rua Guarei,73 m²,3 quartos,1 vaga, Água Rasa
R$ 340.000,Rua Atalaia Velha,68 m²,2 quartos,1 vaga, Água Rasa
R$ 390.000,Rua Piraçununga,49 m²,2 quartos,2 vagas, Água Rasa
"R$ 567.539,44",Rua Porto Alegre,81 m²,3 quartos,1 vaga, Água Rasa
R$ 285.000,Rua Rui Martins,45 m²,2 quartos,1 vaga, Água Rasa
R$ 450.000,Rua Jaboticabal,55 m²,2 quartos,1 vaga, Água Rasa
R$ 432.000,Rua Barão do Serro Largo,90 m²,3 quartos,1 vaga, Água Rasa
R$ 1.200.000,Rua Bento Gonçalves,141 m²,3 quartos,3 vagas, Água Rasa
R$ 360.000,Rua Jaboticabal,50 m²,2 quartos,1 vaga, Água Rasa
R$ 860.000,Rua Pantojo,81 m²,2 quartos,2 vagas, Água Rasa
R$ 553.000,Rua Campo Largo,79 m²,2 quartos,1 vaga, Água Rasa
R$ 370.000,Rua Barão de Penedo,62 m²,2 quartos,1 vaga, Água Rasa
R$ 858.600,Rua Anália Franco,160 m²,4 quartos,3 vagas, Água Rasa
R$ 439.999,Rua Baguassu,64 m²,2 quartos,1 vaga, Água Rasa
R$ 350.000,Rua Porto Alegre,65 m²,2 quartos,Sem vaga, Água Rasa
R$ 315.000,Rua Doutor José Higino,76 m²,2 quartos,Sem vaga, Água Rasa
R$ 380.000,Rua Barretos,110 m²,2 quartos,Sem vaga, Água Rasa
R$ 690.000,Rua Pantojo,82 m²,3 quartos,2 vagas, Água Rasa
R$ 900.000,Rua Doutor Goulart Penteado,126 m²,3 quartos,3 vagas, Água Rasa
R$ 594.000,Rua Miragem,78 m²,3 quartos,2 vagas, Água Rasa
R$ 650.000,Avenida Vila Ema,72 m²,2 quartos,1 vaga, Água Rasa
R$ 770.000,Rua Doutor Goulart Penteado,130 m²,3 quartos,3 vagas, Água Rasa
R$ 595.000,Rua João Bizarro da Nave,105 m²,3 quartos,1 vaga, Água Rasa
R$ 490.000,Rua Sebastião Barbosa,77 m²,3 quartos,1 vaga, Água Rasa
R$ 390.000,Rua Manaus,81 m²,2 quartos,1 vaga, Água Rasa
R$ 510.000,Rua Porto Alegre,56 m²,2 quartos,2 vagas, Água Rasa
R$ 360.400,Rua Natal,58 m²,3 quartos,1 vaga, Água Rasa
R$ 660.000,Rua Pantojo,90 m²,3 quartos,2 vagas, Água Rasa
R$ 1.300.000,Praça Ituzaingo,243 m²,3 quartos,3 vagas, Água Rasa
R$ 710.000,Rua Bom Jesus,140 m²,3 quartos,2 vagas, Água Rasa
R$ 700.000,Rua Pantojo,110 m²,3 quartos,2 vagas, Água Rasa
R$ 510.000,Rua Corumbaiba,68 m²,2 quartos,2 vagas, Água Rasa
R$ 900.000,Rua Cuiabá,92 m²,3 quartos,2 vagas, Água Rasa
R$ 750.000,Rua Campo Largo,82 m²,3 quartos,2 vagas, Água Rasa
R$ 570.000,Rua Pantojo,90 m²,3 quartos,2 vagas, Água Rasa
R$ 600.000,Rua Valentim Magalhães,72 m²,3 quartos,2 vagas, Água Rasa
R$ 800.000,Rua Pantojo,150 m²,3 quartos,2 vagas, Água Rasa
R$ 850.000,Rua Doutor Goulart Penteado,130 m²,3 quartos,3 vagas, Água Rasa
R$ 530.000,Rua Piraçununga,56 m²,2 quartos,2 vagas, Água Rasa
R$ 1.900.000,Praça Ituzaingo,340 m²,5 quartos,5 vagas, Água Rasa
R$ 380.000,Rua Cachoeri,75 m²,2 quartos,2 vagas, Água Rasa
R$ 550.000,Rua Demétrio Ribeiro,97 m²,3 quartos,1 vaga, Água Rasa
R$ 800.000,Rua Bom Jesus,140 m²,3 quartos,2 vagas, Água Rasa
R$ 835.000,Rua Darnilo Martins Pereira,94 m²,3 quartos,2 vagas, Água Rasa
R$ 1.200.000,Rua Teresina,115 m²,3 quartos,2 vagas, Água Rasa
R$ 430.000,Rua Marius,81 m²,3 quartos,1 vaga, Água Rasa
R$ 490.000,Avenida Vereador Abel Ferreira,65 m²,3 quartos,2 vagas, Água Rasa
R$ 670.000,Rua da Mooca,76 m²,2 quartos,2 vagas, Água Rasa
R$ 440.000,Rua Caioaba,62 m²,2 quartos,1 vaga, Água Rasa
R$ 1.720.000,Rua Jorge Americano,157 m²,4 quartos,3 vagas, Alto Da Lapa
R$ 632.000,Rua Jorge Americano,79 m²,3 quartos,2 vagas, Alto Da Lapa
R$ 474.000,Avenida Diógenes Ribeiro de Lima,44 m²,1 quarto,1 vaga, Alto Da Lapa
R$ 531.000,Rua Jorge Americano,58 m²,2 quartos,1 vaga, Alto Da Lapa
R$ 1.350.000,Rua Doutor José Elias,148 m²,3 quartos,3 vagas, Alto Da Lapa
R$ 758.000,Rua Jorge Americano,78 m²,2 quartos,2 vagas, Alto Da Lapa
R$ 1.840.000,Rua Mário Whately,190 m²,3 quartos,3 vagas, Alto Da Lapa
R$ 607.200,Rua Mário Whately,66 m²,3 quartos,1 vaga, Alto Da Lapa
R$ 590.000,Avenida Diógenes Ribeiro de Lima,43 m²,1 quarto,1 vaga, Alto Da Lapa
R$ 1.450.000,Rua Presidente Antônio Cândido,130 m²,4 quartos,3 vagas, Alto Da Lapa
R$ 680.000,Avenida Diógenes Ribeiro de Lima,58 m²,2 quartos,2 vagas, Alto Da Lapa
R$ 1.450.000,Rua Doutor José Elias,144 m²,3 quartos,3 vagas, Alto Da Lapa
R$ 1.590.000,Rua Mário Whately,122 m²,3 quartos,3 vagas, Alto Da Lapa
R$ 4.000.000,Rua Sales Júnior,494 m²,4 quartos,1 vaga, Alto Da Lapa
R$ 950.000,Rua Filipinas,80 m²,3 quartos,2 vagas, Alto Da Lapa
"R$ 809.704,93",Rua Jorge Americano,105 m²,3 quartos,1 vaga, Alto Da Lapa
R$ 1.360.800,Rua Presidente Antônio Cândido,90 m²,4 quartos,3 vagas, Alto Da Lapa
R$ 4.400.000,Rua Jorge Americano,366 m²,4 quartos,6 vagas, Alto Da Lapa
R$ 930.000,Rua Doutor José Elias,84 m²,3 quartos,2 vagas, Alto Da Lapa
R$ 2.100.000,Rua Sales Júnior,280 m²,4 quartos,4 vagas, Alto Da Lapa
R$ 930.000,Rua Aliança Liberal,96 m²,3 quartos,2 vagas, Alto Da Lapa
R$ 890.000,Rua Doutor José Elias,87 m²,3 quartos,2 vagas, Alto Da Lapa
R$ 840.000,Rua Jorge Americano,80 m²,3 quartos,1 vaga, Alto Da Lapa
R$ 1.650.000,Rua Sales Júnior,222 m²,4 quartos,3 vagas, Alto Da Lapa
R$ 900.000,Rua Doutor José Elias,60 m²,1 quarto,1 vaga, Alto Da Lapa
R$ 475.000,Avenida Diógenes Ribeiro de Lima,63 m²,2 quartos,1 vaga, Alto Da Lapa
R$ 459.000,Rua Filipinas,54 m²,2 quartos,1 vaga, Alto Da Lapa
R$ 3.200.000,Rua Princesa Leopoldina,380 m²,4 quartos,7 vagas, Alto Da Lapa
R$ 2.950.000,Rua Doutor José Elias,270 m²,3 quartos,4 vagas, Alto Da Lapa
R$ 1.150.000,Rua Doutor José Elias,148 m²,3 quartos,3 vagas, Alto Da Lapa
R$ 820.000,Rua Jorge Americano,80 m²,2 quartos,2 vagas, Alto Da Lapa
R$ 680.000,Rua Jorge Americano,84 m²,3 quartos,2 vagas, Alto Da Lapa
R$ 380.000,Rua Cerro Corá,85 m²,2 quartos,Sem vaga, Alto Da Lapa
R$ 2.690.000,Rua Aliança Liberal,284 m²,4 quartos,3 vagas, Alto Da Lapa
R$ 3.600.000,Rua Jorge Americano,366 m²,4 quartos,5 vagas, Alto Da Lapa
R$ 459.400,Rua Filipinas,62 m²,2 quartos,1 vaga, Alto Da Lapa
R$ 3.000.000,Rua Sales Júnior,247 m²,4 quartos,4 vagas, Alto Da Lapa
R$ 499.000,Rua Filipinas,55 m²,2 quartos,1 vaga, Alto Da Lapa
R$ 490.000,Rua Filipinas,56 m²,2 quartos,1 vaga, Alto Da Lapa
R$ 1.610.000,Rua Dardanelos,143 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 1.100.000,Rua Pio XI,100 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 2.235.000,Rua Doutor José Rodrigues Alves Sobrinho,205 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 1.173.000,Avenida Arruda Botelho,91 m²,2 quartos,2 vagas, Alto De Pinheiros
R$ 814.000,Rua Bergamota,80 m²,2 quartos,2 vagas, Alto De Pinheiros
R$ 1.050.000,Rua Pio XI,78 m²,2 quartos,2 vagas, Alto De Pinheiros
"R$ 722.756,79",Rua Bergamota,100 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 2.850.000,Rua São Domingos Sávio,310 m²,4 quartos,5 vagas, Alto De Pinheiros
R$ 1.300.000,Avenida Diógenes Ribeiro de Lima,105 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 1.150.000,Rua Bergamota,105 m²,3 quartos,2 vagas, Alto De Pinheiros
"R$ 727.208,44",Rua Bergamota,70 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 2.700.000,Rua Bergamota,304 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 2.200.000,Rua Doutor José Rodrigues Alves Sobrinho,195 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 880.000,Rua Majubim,60 m²,1 quarto,2 vagas, Alto De Pinheiros
R$ 2.600.000,Rua Bergamota,284 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 550.000,Avenida Diógenes Ribeiro de Lima,54 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 530.000,Avenida Padre Pereira de Andrade,51 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 1.250.000,Rua Pio XI,85 m²,2 quartos,2 vagas, Alto De Pinheiros
"R$ 932.504,09",Rua Coelho de Carvalho,120 m²,4 quartos,2 vagas, Alto De Pinheiros
R$ 550.000,Avenida Diógenes Ribeiro de Lima,54 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 1.050.000,Rua Bergamota,100 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 1.124.000,Rua Bergamota,103 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 1.277.000,Rua Bergamota,103 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 1.220.000,Rua Pio XI,100 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 1.679.858,Rua Dardanelos,176 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 1.126.581,Rua Bergamota,100 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 940.000,Rua Sucuriú,106 m²,3 quartos,2 vagas, Alto De Pinheiros
"R$ 1.600.944,01",Rua dos Escultores,147 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 1.600.000,Rua dos Escultores,133 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 3.250.000,Rua Anatólia,210 m²,4 quartos,4 vagas, Alto De Pinheiros
R$ 1.200.000,Rua Coelho de Carvalho,123 m²,4 quartos,3 vagas, Alto De Pinheiros
R$ 2.000.000,Rua Bergamota,160 m²,4 quartos,3 vagas, Alto De Pinheiros
R$ 480.000,Avenida Padre Pereira de Andrade,50 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 3.400.000,Rua Anatólia,216 m²,3 quartos,4 vagas, Alto De Pinheiros
R$ 520.000,Avenida Padre Pereira de Andrade,50 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 1.300.000,Rua Coelho de Carvalho,126 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 970.000,Rua Dardanelos,123 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 1.450.000,Rua Dardanelos,200 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 2.150.000,Rua Pedralva,185 m²,2 quartos,3 vagas, Alto De Pinheiros
R$ 3.650.000,Avenida Professor Fonseca Rodrigues,239 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 6.850.000,Rua Massacá,375 m²,3 quartos,5 vagas, Alto De Pinheiros
R$ 550.000,Rua Pio XI,78 m²,2 quartos,Sem vaga, Alto De Pinheiros
R$ 365.000,Avenida Diógenes Ribeiro de Lima,49 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 431.000,Avenida Diógenes Ribeiro de Lima,77 m²,3 quartos,1 vaga, Alto De Pinheiros
R$ 801.000,Rua Bergamota,88 m²,3 quartos,1 vaga, Alto De Pinheiros
R$ 3.600.000,Avenida Professor Fonseca Rodrigues,238 m²,3 quartos,3 vagas, Alto De Pinheiros
R$ 1.540.000,Rua Bergamota,154 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 500.000,Avenida Padre Pereira de Andrade,50 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 680.000,Rua Bergamota,81 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 810.000,Rua Bergamota,80 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 980.000,Rua Sucuriú,105 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 3.100.000,Rua São Domingos Sávio,443 m²,4 quartos,5 vagas, Alto De Pinheiros
R$ 560.000,Rua Pio XI,65 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 520.000,Rua Dardanelos,60 m²,2 quartos,1 vaga, Alto De Pinheiros
"R$ 446.087,64",Avenida Diógenes Ribeiro de Lima,50 m²,2 quartos,2 vagas, Alto De Pinheiros
R$ 7.000.000,Rua São Domingos Sávio,886 m²,5 quartos,5 vagas, Alto De Pinheiros
R$ 6.470.000,Rua Marcos Mélega,370 m²,5 quartos,4 vagas, Alto De Pinheiros
R$ 1.200.000,Rua Bergamota,100 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 6.400.000,Avenida das Nações Unidas,376 m²,3 quartos,5 vagas, Alto De Pinheiros
R$ 3.700.000,Rua São Domingos Sávio,620 m²,4 quartos,6 vagas, Alto De Pinheiros
R$ 3.200.000,Rua São Domingos Sávio,310 m²,4 quartos,5 vagas, Alto De Pinheiros
R$ 1.100.000,Rua Pio XI,77 m²,2 quartos,2 vagas, Alto De Pinheiros
R$ 480.000,Rua Dardanelos,56 m²,2 quartos,1 vaga, Alto De Pinheiros
R$ 2.350.000,Rua Dardanelos,250 m²,4 quartos,5 vagas, Alto De Pinheiros
R$ 1.250.000,Rua Bergamota,100 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 950.000,Rua Bergamota,104 m²,3 quartos,2 vagas, Alto De Pinheiros
R$ 275.000,Rua Rego Barros,46 m²,2 quartos,1 vaga, Aricanduva
R$ 240.000,Rua Bactória,47 m²,2 quartos,1 vaga, Aricanduva
"R$ 382.658,6",Rua Engenheiro Guilherme Cristiano Frender,60 m²,3 quartos,1 vaga, Aricanduva
R$ 260.000,Rua Bactória,49 m²,2 quartos,1 vaga, Aricanduva
R$ 750.000,Rua Desembargador Andrade Pinto,90 m²,3 quartos,2 vagas, Aricanduva
R$ 730.000,Rua Felício Pereira,86 m²,2 quartos,1 vaga, Aricanduva
"R$ 623.317,86",Rua Rego Barros,60 m²,3 quartos,1 vaga, Aricanduva
"R$ 331.692,79",Rua Engenheiro Guilherme Cristiano Frender,47 m²,2 quartos,1 vaga, Aricanduva
R$ 350.000,Rua Refinaria Mataripe,51 m²,2 quartos,1 vaga, Aricanduva
"R$ 331.692,79",Rua Engenheiro Guilherme Cristiano Frender,47 m²,2 quartos,1 vaga, Aricanduva
R$ 375.000,Rua Rego Barros,70 m²,3 quartos,1 vaga, Aricanduva
R$ 350.000,Rua Rego Barros,69 m²,3 quartos,2 vagas, Aricanduva
R$ 281.000,Avenida Cipriano Rodrigues,49 m²,2 quartos,1 vaga, Aricanduva
R$ 200.000,Rua Rufino Fernandes Inivarri,52 m²,2 quartos,1 vaga, Aricanduva
R$ 270.000,Avenida Cipriano Rodrigues,52 m²,2 quartos,1 vaga, Aricanduva
R$ 507.000,Rua Desembargador Andrade Pinto,90 m²,3 quartos,1 vaga, Aricanduva
R$ 499.000,Rua Felício Pereira,65 m²,2 quartos,1 vaga, Aricanduva
R$ 385.000,Rua Rego Barros,61 m²,3 quartos,1 vaga, Aricanduva
R$ 332.000,Rua Engenheiro Guilherme Cristiano Frender,49 m²,2 quartos,1 vaga, Aricanduva
R$ 495.000,Rua Felício Pereira,66 m²,2 quartos,1 vaga, Aricanduva
R$ 380.000,Rua Rego Barros,67 m²,3 quartos,1 vaga, Aricanduva
R$ 360.000,Rua Rego Barros,61 m²,3 quartos,1 vaga, Aricanduva
